A,Table A,Title information (filtered),
A,
A,Running EQ6 from EQ3/6-V8.0a (R43a) for PC,
A,---,
A,
A,Sample: {sample_name},
A,Date created:  2024-01-02 10:21 PM,
A,EQ6 input file generated by AqEquil,
A,,
A,---,
A,
A,data0.dyn,
A,Water model: SUPCRT92,
A,TP points: 1,
A,+--------------------------------------------------------------------,
A,---,
B1,EndTable:,A,
B1,
B1,
B1,Table B1,Miscellaneous parameters I,
B1,Xi,t(days),Temp(C),Press(bars),pH,pmH,log fO2,Eh(v),pe,aw,
B1,0.000,0.000,25.0000,1.1000,8.0000,7.9996,-0.6695,0.7459,12.6088,1.0000,
B1,1.0000E-08,0.000,25.0000,1.1000,8.0136,8.0133,-0.6695,0.7451,12.5952,1.0000,
B1,1.0000E-07,0.000,25.0000,1.1000,8.1202,8.1197,-0.6695,0.7388,12.4887,1.0000,
B1,1.0000E-06,0.000,25.0000,1.1000,8.6146,8.6134,-0.6695,0.7095,11.9943,1.0000,
B1,8.5984E-06,0.000,25.0000,1.1000,9.3877,9.3844,-0.6695,0.6638,11.2211,1.0000,
B1,1.0000E-05,0.000,25.0000,1.1000,9.3894,9.3861,-0.6695,0.6637,11.2194,1.0000,
B1,2.7961E-05,0.000,25.0000,1.1000,9.4253,9.4218,-0.6695,0.6616,11.1835,1.0000,
B1,1.0000E-04,0.000,25.0000,1.1000,9.7377,9.7326,-0.6695,0.6431,10.8712,1.0000,
B1,3.0044E-04,0.000,25.0000,1.1000,10.1857,10.1772,-0.6695,0.6166,10.4232,1.0000,
B1,5.4546E-04,0.000,25.0000,1.1000,10.1857,10.1772,-0.6695,0.6166,10.4232,1.0000,
B1,1.0000E-03,0.000,25.0000,1.1000,10.4352,10.4247,-0.6695,0.6018,10.1736,1.0000,
B1,3.2442E-03,0.000,25.0000,1.1000,10.9356,10.9181,-0.6694,0.5722,9.6733,1.0000,
B1,1.0000E-02,0.000,25.0000,1.1000,10.9356,10.9181,-0.6693,0.5722,9.6733,1.0000,
B1,0.1000,0.000,25.0000,1.1000,10.9356,10.9181,-0.6689,0.5722,9.6735,1.0000,
B1,1.000,0.000,25.0000,1.1000,10.9356,10.9181,-0.6642,0.5723,9.6746,1.0000,
B2,EndTable:,B1,
B2,
B2,
B2,Table B2,Miscellaneous parameters II,
B2,Xi,t(days),H2O(kg),Alk(eq/kg.H2O),Signam(m),I(m),J(m),TDS(g/kg.sol),TDS(g/L),density(g/L),M/m,
B2,0.000,0.000,1.000,1.0124E-06,2.7147E-04,5.1622E-07,-1.6874E-07,0.0087,0.0087,1000.9656,1.0010,
B2,1.0000E-08,0.000,1.000,1.0448E-06,2.7153E-04,5.6540E-07,-1.5224E-07,0.0087,0.0087,1000.9656,1.0010,
B2,1.0000E-07,0.000,1.000,1.3356E-06,2.7208E-04,1.0087E-06,-3.7735E-09,0.0087,0.0087,1000.9656,1.0010,
B2,1.0000E-06,0.000,1.000,4.1770E-06,2.7759E-04,5.4564E-06,1.4801E-06,0.0089,0.0089,1000.9657,1.0010,
B2,8.5984E-06,0.000,1.000,2.4947E-05,3.2087E-04,4.2947E-05,1.3959E-05,0.0102,0.0102,1000.9666,1.0010,
B2,1.0000E-05,0.000,1.000,2.5045E-05,3.2149E-04,4.3345E-05,1.4092E-05,0.0103,0.0103,1000.9666,1.0010,
B2,2.7961E-05,0.000,1.000,2.7204E-05,3.3148E-04,5.0343E-05,1.6428E-05,0.0108,0.0108,1000.9670,1.0010,
B2,1.0000E-04,0.000,1.000,5.5999E-05,3.8593E-04,1.0479E-04,3.4576E-05,0.0127,0.0127,1000.9682,1.0010,
B2,3.0044E-04,0.000,1.000,1.5843E-04,5.7942E-04,2.9807E-04,9.8935E-05,0.0191,0.0191,1000.9723,1.0010,
B2,5.4546E-04,0.000,1.000,1.5844E-04,5.7943E-04,2.9808E-04,9.8937E-05,0.0191,0.0191,1000.9723,1.0010,
B2,1.0000E-03,0.000,1.000,2.8312E-04,7.5474E-04,4.7803E-04,1.5879E-04,0.0230,0.0231,1000.9748,1.0010,
B2,3.2442E-03,0.000,1.000,9.1445E-04,1.6809E-03,1.4034E-03,4.6568E-04,0.0454,0.0454,1000.9891,1.0009,
B2,1.0000E-02,0.000,0.9999,9.1445E-04,1.6809E-03,1.4034E-03,4.6568E-04,0.0454,0.0454,1000.9891,1.0009,
B2,0.1000,0.000,0.9988,9.1445E-04,1.6812E-03,1.4034E-03,4.6568E-04,0.0454,0.0454,1000.9891,1.0009,
B2,1.000,0.000,0.9881,9.1446E-04,1.6842E-03,1.4034E-03,4.6568E-04,0.0455,0.0455,1000.9892,1.0009,
C1,EndTable:,B2,
C1,
C1,
C1,Table C1,Dissolved elements(molality),
C1,Xi,t(days),Cl,Mg,Ca,Si,
D3,1.0000E-04,0.000,1.0010E-08,-7.0660E-05,1.7967E-06,3.3032E-05,2.4768E-05,
D3,3.0044E-04,0.000,1.0010E-08,-1.9991E-04,2.4004E-07,9.9214E-05,5.1487E-05,
D3,5.4546E-04,0.000,1.0010E-08,-1.9991E-04,2.4004E-07,9.9216E-05,5.1486E-05,
D3,1.0000E-03,0.000,1.0010E-08,-3.2053E-04,1.2532E-07,1.5964E-04,4.2250E-05,
D3,3.2442E-03,0.000,1.0010E-08,-9.4427E-04,3.7848E-08,4.7159E-04,3.0186E-05,
D3,1.0000E-02,0.000,1.0011E-08,-9.4427E-04,3.7848E-08,4.7159E-04,3.0186E-05,
D3,0.1000,0.000,1.0021E-08,-9.4427E-04,3.7848E-08,4.7159E-04,3.0186E-05,
D3,1.000,0.000,1.0130E-08,-9.4427E-04,3.7848E-08,4.7159E-04,3.0187E-05,
D4,EndTable:,D3,
D4,
D4,
D4,Table D4,Solute basis species(total ppm: mg/L),
D4,Xi,t(days),Cl-,H+,Mg+2,Ca+2,SiO2,
D4,0.000,0.000,0.0004,-0.0010,0.0000,0.0000,0.0000,
D4,1.0000E-08,0.000,0.0004,-0.0010,0.0003,0.0001,0.0008,
D4,1.0000E-07,0.000,0.0004,-0.0013,0.0032,0.0013,0.0079,
D4,1.0000E-06,0.000,0.0004,-0.0043,0.0321,0.0132,0.0794,
D4,8.5984E-06,0.000,0.0004,-0.0296,0.2761,0.1138,0.6825,
D4,1.0000E-05,0.000,0.0004,-0.0299,0.2680,0.1324,0.7064,
D4,2.7961E-05,0.000,0.0004,-0.0346,0.1804,0.3702,1.0365,
D4,1.0000E-04,0.000,0.0004,-0.0712,0.0437,1.3239,1.4882,
D4,3.0044E-04,0.000,0.0004,-0.2015,0.0058,3.9765,3.0935,
D4,5.4546E-04,0.000,0.0004,-0.2015,0.0058,3.9766,3.0935,
D4,1.0000E-03,0.000,0.0004,-0.3231,0.0030,6.3982,2.5386,
D4,3.2442E-03,0.000,0.0004,-0.9518,0.0009,18.9015,1.8137,
D4,1.0000E-02,0.000,0.0004,-0.9518,0.0009,18.9015,1.8137,
D4,0.1000,0.000,0.0004,-0.9518,0.0009,18.9015,1.8137,
D4,1.000,0.000,0.0004,-0.9518,0.0009,18.9013,1.8137,
E1,EndTable:,D4,
E1,
E1,
E1,Table E1,Basis species(log true molality; log mole fraction for H2O, log fugacity for O2(g)),
E1,Xi,t(days),H2O,Cl-,H+,Mg+2,Ca+2,SiO2,O2(g),
E1,0.000,0.000,-2.1239E-06,-8.000,-8.000,-18.00,-18.00,-18.01,-0.6695,
E1,1.0000E-08,0.000,-2.1244E-06,-8.000,-8.013,-7.880,-8.481,-7.891,-0.6695,
E1,1.0000E-07,0.000,-2.1288E-06,-8.000,-8.120,-6.880,-7.481,-6.894,-0.6695,
E1,1.0000E-06,0.000,-2.1719E-06,-8.000,-8.613,-5.880,-6.482,-5.924,-0.6695,
E1,8.5984E-06,0.000,-2.5104E-06,-8.000,-9.384,-4.947,-5.547,-5.160,-0.6695,
E1,1.0000E-05,0.000,-2.5153E-06,-8.000,-9.386,-4.960,-5.482,-5.146,-0.6695,
E1,2.7961E-05,0.000,-2.5935E-06,-8.000,-9.422,-5.132,-5.035,-4.994,-0.6695,
E1,1.0000E-04,0.000,-3.0195E-06,-8.000,-9.733,-5.751,-4.482,-4.994,-0.6695,
E1,3.0044E-04,0.000,-4.5333E-06,-8.000,-10.18,-6.633,-4.005,-4.994,-0.6695,
E1,5.4546E-04,0.000,-4.5334E-06,-8.000,-10.18,-6.633,-4.005,-4.994,-0.6695,
E1,1.0000E-03,0.000,-5.9050E-06,-8.000,-10.42,-6.925,-3.799,-5.292,-0.6695,
E1,3.2442E-03,0.000,-1.3151E-05,-8.000,-10.92,-7.487,-3.332,-5.909,-0.6694,
E1,1.0000E-02,0.000,-1.3151E-05,-8.000,-10.92,-7.487,-3.332,-5.909,-0.6693,
E1,0.1000,0.000,-1.3154E-05,-8.000,-10.92,-7.487,-3.332,-5.909,-0.6689,
E1,1.000,0.000,-1.3177E-05,-7.995,-10.92,-7.487,-3.332,-5.909,-0.6642,
E2,EndTable:,E1,
E2,
E2,
E2,Table E2,Basis species(log activity; log fugacity for O2(g)),
E2,Xi,t(days),H2O,Cl-,H+,Mg+2,Ca+2,SiO2,O2(g),
E2,0.000,0.000,-0.0000,-8.0004,-8.0000,-18.0016,-18.0015,-18.0111,-0.6695,
E2,1.0000E-08,0.000,-0.0000,-8.0004,-8.0136,-7.8811,-8.4830,-7.8909,-0.6695,
E2,1.0000E-07,0.000,-0.0000,-8.0005,-8.1202,-6.8816,-7.4835,-6.8941,-0.6695,
E2,1.0000E-06,0.000,-0.0000,-8.0012,-8.6146,-5.8845,-6.4863,-5.9237,-0.6695,
E2,8.5984E-06,0.000,-0.0000,-8.0033,-9.3877,-4.9605,-5.5605,-5.1598,-0.6695,
E2,1.0000E-05,0.000,-0.0000,-8.0033,-9.3894,-4.9734,-5.4950,-5.1455,-0.6695,
E2,2.7961E-05,0.000,-0.0000,-8.0036,-9.4253,-5.1466,-5.0495,-4.9935,-0.6695,
E2,1.0000E-04,0.000,-0.0000,-8.0052,-9.7377,-5.7712,-4.5024,-4.9935,-0.6695,
E2,3.0044E-04,0.000,-0.0000,-8.0086,-10.1857,-6.6672,-4.0392,-4.9935,-0.6695,
E2,5.4546E-04,0.000,-0.0000,-8.0086,-10.1857,-6.6672,-4.0392,-4.9935,-0.6695,
E2,1.0000E-03,0.000,-0.0000,-8.0108,-10.4352,-6.9674,-3.8421,-5.2919,-0.6695,
E2,3.2442E-03,0.000,-0.0000,-8.0182,-10.9356,-7.5568,-3.4036,-5.9087,-0.6694,
E2,1.0000E-02,0.000,-0.0000,-8.0182,-10.9356,-7.5568,-3.4036,-5.9087,-0.6693,
E2,0.1000,0.000,-0.0000,-8.0177,-10.9356,-7.5568,-3.4036,-5.9087,-0.6689,
E2,1.000,0.000,-0.0000,-8.0130,-10.9356,-7.5569,-3.4036,-5.9087,-0.6642,
E3,EndTable:,E2,
E3,
E3,
E3,Table E3,Basis species(log activity coefficient),
E3,Xi,t(days),H2O,Cl-,H+,Mg+2,Ca+2,SiO2,O2(g),
E3,0.000,0.000,-0.0000,-0.0004,-0.0004,-0.0015,-0.0015,0.0000,0.0000,
E3,1.0000E-08,0.000,-0.0000,-0.0004,-0.0004,-0.0015,-0.0015,0.0000,0.0000,
E3,1.0000E-07,0.000,0.0000,-0.0005,-0.0005,-0.0020,-0.0021,0.0000,0.0000,
E3,1.0000E-06,0.000,0.0000,-0.0012,-0.0012,-0.0048,-0.0048,0.0000,0.0000,
E3,8.5984E-06,0.000,0.0000,-0.0033,-0.0033,-0.0132,-0.0132,0.0000,0.0000,
E3,1.0000E-05,0.000,0.0000,-0.0033,-0.0033,-0.0133,-0.0133,0.0000,0.0000,
E3,2.7961E-05,0.000,0.0000,-0.0036,-0.0036,-0.0143,-0.0143,0.0000,0.0000,
E3,1.0000E-04,0.000,0.0000,-0.0052,-0.0051,-0.0204,-0.0206,0.0000,0.0000,
E3,3.0044E-04,0.000,0.0000,-0.0086,-0.0084,-0.0339,-0.0343,0.0000,0.0000,
E3,5.4546E-04,0.000,0.0000,-0.0086,-0.0084,-0.0339,-0.0343,0.0000,0.0000,
E3,1.0000E-03,0.000,0.0000,-0.0108,-0.0106,-0.0425,-0.0430,0.0000,0.0000,
E3,3.2442E-03,0.000,0.0000,-0.0181,-0.0175,-0.0702,-0.0718,0.0000,0.0000,
E3,1.0000E-02,0.000,0.0000,-0.0181,-0.0175,-0.0702,-0.0718,0.0000,0.0000,
E3,0.1000,0.000,0.0000,-0.0181,-0.0175,-0.0702,-0.0718,0.0000,0.0000,
E3,1.000,0.000,0.0000,-0.0181,-0.0175,-0.0702,-0.0718,0.0000,0.0000,
J,EndTable:,E3,
J,
J,
J,Table J,Moles of reactants destroyed/created,
J,Xi,t(days),forsterite,enstatite,diopside,
J,0.000,0.000,0.000,0.000,0.000,
J,1.0000E-08,0.000,3.3000E-09,3.3000E-09,3.3000E-09,
J,1.0000E-07,0.000,3.3000E-08,3.3000E-08,3.3000E-08,
J,1.0000E-06,0.000,3.3000E-07,3.3000E-07,3.3000E-07,
J,8.5984E-06,0.000,2.8375E-06,2.8375E-06,2.8375E-06,
